cid	iter	formula	name	num_rgroup	electrons
C06393	1	C3H8N2O2	2,3-Diaminopropanoate; 2,3-Diaminopropionate; 2,3-Diaminopropionic acid; 2,3-Diaminopropanoic acid	0	56.0
C05593	1	C8H8O3	3-Hydroxyphenylacetate; 3-Hydroxyphenylacetic acid	0	80.0
C20422	1	C6H16O16P4	alpha-D-Ribose 1-methylphosphonate 5-triphosphate	0	
C20844	1	C6H11NO5	(2Z,4S,5R)-2-Amino-4,5,6-trihydroxyhex-2-enoate	0	
C03189	1	C3H9O6P	DL-Glycerol 1-phosphate; Glycerol 1-phosphate; Glycerol-3-phosphate; rac-Glycerol 1-phosphate; DL-Glyceryl 1-phosphate; DL-Glycerol 3-phosphate	0	90.0
C00262	1	C5H4N4O	Hypoxanthine; Purine-6-ol	0	70.0
C03418	1	C5H10O7PR	Nucleoside 2'-phosphate	1	0.0
C00979	1	C5H9NO4	O-Acetyl-L-serine; O3-Acetyl-L-serine	0	78.0
C07277	1	C16H26N2O15P2	dTDP-D-fucose; dTDP-alpha-D-fucopyranose	0	286.0
C04807	1	C7H11N5O8P2	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine; 2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate; 7,8-Dihydropterin pyrophosphate	0	182.0
C05847	1	C5H12O7P2(C5H8)n	all-trans-Polyprenyl diphosphate; Polyisopentenylpyrophosphate; Polyisopentenyldiphosphate; trans-Polyisopentenyldiphosphate; Polyprenyl diphosphate	0	166.0
C06250	1	C17H27N5O4SR2	Holo-[carboxylase]; Biotin-carboxyl-carrier protein	2	0.0
C17219	1	C9H16O5S	3-(4'-Methylthio)butylmalic acid; 3-(4'-Methylthio)butylmalate	0	126.0
C13425	1	C37H54O3	3-Hexaprenyl-4-hydroxybenzoate; 3-Hexaprenyl-4-hydroxybenzoic acid	0	300.0
C00618	1	C6H10O7	3-Dehydro-L-gulonate	0	102.0
C05401	1	C9H18O8	3-beta-D-Galactosyl-sn-glycerol; Galactosylglycerol	0	136.0
C12320	1	C17H27N3O13P2	dTDP-L-4-oxovancosamine	0	284.0
C00302	1	C5H9NO4	Glutamate; Glutaminic acid; 2-Aminoglutaric acid	0	78.0
C00986	1	C3H10N2	1,3-Diaminopropane; Trimethylenediamine; 1,3-Propanediamine; Propane-1,3-diamine	0	42.0
C01470	1	C16H12O5	Acacetin; 5,7-Dihydroxy-4'-methoxyflavone; 4'-Methoxy-5,7-dihydroxyflavone	0	148.0
C04936	1	C56H96N3O31R	alpha-N-Acetylneuraminyl-2,3-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide; Neu5Ac-alpha2->3Gal-beta1->4GlcNAc-beta1->3Gal-beta1->4Glc-beta1->1'Cer	1	0.0
C03710	1	C10H11NO4	N-Benzyloxycarbonylglycine; N-CBZ-glycine	0	110.0
C12208	1	C16H18O8	p-Coumaroyl quinic acid; trans-5-O-(4-Coumaroyl)-D-quinate	0	178.0
C06241	1	C11H20NO12P	N-Acetylneuraminate 9-phosphate	0	204.0
C09900	1	C10H16	gamma-Terpinene	0	76.0
C16830	1		D-Aldonolactone	0	0.0
C20617	1	C69H115NO17P2	beta-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol	0	
C00800	1	C6H12O7	L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid	0	104.0
C04845	1	C39H69N2O18R	N-Acetyl-beta-D-glucosaminyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide; Lactotriaosylceramide; Lactotriosylceramide; N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-D-glucosylceramide; Ceramidetrisaccharide; Ceramidetrihexoside; N-Acetyl-D-glucosaminyl-1,3-beta-D-galactocyl-1,4-beta-glucosyl-1,1'-beta-ceramide; GlcNAc-beta1->3Gal-beta1->4Glc-beta1->1'Cer; GlcNAc-beta1->3LacCer; N-Acetyl-D-glucosaminyl-1,3-beta-D-galactosyl-1,4-beta-D-glucosylceramide	1	0.0
C00079	1	C9H11NO2	L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid	0	88.0
C17434	1	C30H52O7P2	di-trans,poly-cis-Hexaprenyl diphosphate; ditrans,tricis-Hexaprenyl diphosphate	0	318.0
C11892	1	C20H32	Aphidicol-15-ene	0	152.0
C02504	1	C7H12O5	alpha-Isopropylmalate; (2S)-2-Isopropylmalate; (2S)-2-Hydroxy-2-isopropylsuccinic acid; 2-Isopropylmalic acid; 3-Carboxy-3-hydroxy-4-methylpentanoate; 3-Carboxy-3-hydroxyisocaproate	0	94.0
C02067	1	C9H12N2O6	Pseudouridine	0	128.0
C01236	1	C6H11O9P	D-Glucono-1,5-lactone 6-phosphate; 6-Phospho-D-glucono-1,5-lactone	0	134.0
C06139	1	C89H147N6O55R	GQ1; Neu5Ac-alpha2->8Neu5Ac-alpha2->3Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer; Neu5Ac-alpha2->8Neu5Ac-alpha2->3Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->8Neu5Ac-alpha2->3)LacCer	1	0.0
C20242	1	C10H16	(-)-Sabinene; (1S,5S)-1-Isopropyl-4-methylenebicyclo[3.1.0]hexane	0	
C04415	1	C15H18O8	4-O-beta-D-Glucosyl-4-hydroxycinnamate	0	172.0
C04540	1	C12H21N3O8	N4-(Acetyl-beta-D-glucosaminyl)asparagine; N4-(beta-N-Acetyl-D-glucosaminyl)-L-asparagine; 1-beta-Aspartyl-N-acetyl-D-glucosaminylamine	0	178.0
C05114	1		Mucopolysaccharide	0	0.0
C00268	1	C9H13N5O3	Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin	0	126.0
C03921	1	C6H8O7	2-Dehydro-3-deoxy-D-glucarate	0	100.0
C20682	1	C16H26N2O15P2	dTDP-alpha-D-fucofuranose	0	
C05627	1	C8H8O	4-Hydroxystyrene; 4-Vinylphenol	0	64.0
C03826	1	C5H8O5	2-Dehydro-3-deoxy-D-xylonate; 2-Dehydro-3-deoxy-D-arabinonate; 2-Dehydro-3-deoxy-D-pentonate; (4S)-4,5-Dihydroxy-2-oxopentanoate	0	78.0
C05768	1	C36H44N4O8	Coproporphyrinogen I	0	352.0
C04115	1	C7H8O8	4-Carboxy-4-hydroxy-2-oxoadipate; 4-Hydroxy-4-carboxymethyl-2-oxoglutarate; 2-Hydroxy-4-oxobutane-1,2,4-tricarboxylate	0	114.0
C05361	1	N2H4	Hydrazine	0	18.0
C01832	1	C33H58N7O17P3S	Lauroyl-CoA; Lauroyl coenzyme A; Dodecanoyl-CoA	0	502.0
C02835	1	C5H6N2O2	Imidazole-4-acetate; Imidazoleacetic acid; 4-Imidazoleacetate	0	66.0
C10722	1	C18H19NO5	Melicopicine	0	174.0
C03323	1	(C12H20O10)n	(2,1-beta-D-Fructosyl)n; (2,1-beta-D-Fructosyl)n+1; Inulin; (1,2-beta-D-Fructosyl)n; (1,2-beta-D-Fructosyl)m; (1,2-beta-D-Fructosyl)n+1; (1,2-beta-D-Fructosyl)m-1	0	182.0
C00021	1	C14H20N6O5S	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	0	202.0
C01934	1	C6H12O6	L-Rhamnonate; 6-Deoxy-L-mannonic acid	0	96.0
C06128	1	C36H63N2O16R	GM4; N-Acetylneuraminyl-galactosylceramide; Neu5Ac-alpha2->3Gal-beta1->1'Cer	1	0.0
C18126	1	C7H14O9PR	1-Acyl-sn-glycero-3-phosphoglycerol	1	0.0
C18094	1	C14H22N2O16P2	UDP-L-arabinofuranose; UDP-beta-L-arabinofuranose	0	278.0
C18225	1	C20H32	9beta-Pimara-7,15-diene	0	152.0
C04911	1	C56H96N3O31R	D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosylceramide; GM1; GM1a; D-Galactosyl-1,3-beta-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D-galactosyl-D-glucosyl-N-acylsphingosine; Gal-beta1->3GalNAc-beta1->4(Neu5Ac-alpha2->3)Gal-beta1->4Glc-beta1->1'Cer	1	0.0
C16390	1	C6H10O5	(S)-2-(Hydroxymethyl)glutarate	0	86.0
C16671	1	C6H7NO2	3,6-Dihydronicotinic acid	0	66.0
C03820	1	C5H9O4R	1-Alkyl-2-acetyl-sn-glycerol; 2-Acetyl-1-alkyl-sn-glycerol; 1-O-Alkyl-2-acetyl-sn-glycerol	1	0.0
C06561	1	C15H12O5	Naringenin chalcone; 2',4,4',6'-Tetrahydroxychalcone; Isosalipurpol; Chalconaringenin	0	142.0
C06378	1	C3H3NO3R2	N-Acyl-D-amino acid	2	0.0
C06083	1	C30H52O	Tetrahymanol	0	240.0
C05600	1	C7H8O5	2-Hydroxyhepta-2,4-dienedioate; 2-Hydroxyhepta-2,4-diene-1,7-dioate	0	90.0
C00151	1	C2H4NO2R	L-Amino acid; L-2-Amino acid	1	0.0
C01368	1	C9H13N2O9P	3'-UMP; Uridine 3'-monophosphate; Uridine 3'-phosphate	0	168.0
C04037	1	C6H11O10P	1-Phospho-alpha-D-galacturonate; D-Galacturonate 1-phosphate	0	142.0
C16503	1	C16H26O2	Methyl farnesoate	0	138.0
C18125	1	C7H13NO9PR	1-Acyl-sn-glycero-3-phosphoserine	1	0.0
C01460	1	C21H20O10	Vitexin; Apigenin 8-C-glucoside	0	226.0
C04874	1	C9H13N5O4	2-Amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine; Dihydroneopterin; 7,8-Dihydroneopterin	0	134.0
C01572	1	C14H10O9	Digallate; Digallic acid	0	166.0
C02995	1	C12H23O14P	Maltose 6'-phosphate	0	222.0
C00257	1	C6H12O7	D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid	0	104.0
C01507	1	C6H14O6	L-Iditol	0	98.0
C01218	1	C6H11O10P	6-Phospho-2-dehydro-D-gluconate; 2-Dehydro-D-gluconate 6-phosphate	0	142.0
C03576	1	C2H6O3S2	Coenzyme M; 2-Mercaptoethanesulfonate; Reduced coenzyme M; HS-CoM; CoM	0	74.0
C17217	1	C7H15NO2S	Dihomomethionine	0	96.0
C11889	1	C20H30O2	Neoabietic acid	0	166.0
C17232	1	C11H20O3S	2-Oxo-10-methylthiodecanoic acid; 10-Methylthio-2-decanoic acid	0	126.0
C00734	1	C12H24N2O9(C6H11NO4)n	Chitosan; beta-1,4-Poly-D-glucosamine	0	268.0
C04628	1	C11H22NO7PS	Coenzyme B; N-(7-Mercaptoheptanoyl)threonine 3-O-phosphate; N-(7-Mercaptoheptanoyl)threonine O3-phosphate; HTP	0	174.0
C03993	1	C13H16O8	4-(beta-D-Glucosyloxy)benzoate; 4-Hydroxybenzoate-O-glucoside	0	158.0
C01243	1	C6H15O15P3	1D-myo-Inositol 1,3,4-trisphosphate; D-myo-Inositol 1,3,4-trisphosphate; Inositol 1,3,4-trisphosphate	0	216.0
C19974	1	C15H26O	(+)-Caryolan-1-ol	0	
C05262	1	C33H58N7O18P3S	(S)-3-Hydroxydodecanoyl-CoA	0	510.0
C03409	1	C5H8N2O4	N-Formimino-L-aspartate; N-Formimidoyl-L-aspartate	0	84.0
C03231	1	C27H42N7O19P3S	3-Methylglutaconyl-CoA; trans-3-Methylglutaconyl-CoA; (E)-3-Methylglutaconyl-1-CoA	0	466.0
C18244	1	C6H6Cl2O5	2,4-Dichloro-3-oxoadipate	0	116.0
C07303	1	C31H46N7O20P3S	4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA; 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropionyl-CoA; 3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propionyl-CoA	0	502.0
C15646	1	C5H10O6PR	1-(1-Alkenyl)-sn-glycero-3-phosphate	1	0.0
C03319	1	C16H26N2O15P2	dTDP-L-rhamnose; dTDP-6-deoxy-L-mannose; dTDP-6-deoxy-beta-L-mannose; dTDP-beta-L-rhamnose	0	286.0
C05817	1	C11H12O6	(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate; (1R,6R)-2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate; SHCHC	0	126.0
C00458	1	C9H16N3O13P3	dCTP; Deoxycytidine 5'-triphosphate; Deoxycytidine triphosphate; 2'-Deoxycytidine 5'-triphosphate	0	240.0
C00164	1	C4H6O3	Acetoacetate; 3-Oxobutanoic acid; beta-Ketobutyric acid; Acetoacetic acid	0	54.0
C16598	1	C9H14O7	(R)-(Homo)3-citrate; (R)-2-Hydroxy-1,2,6-hexanetricarboxylate; (R)-2-Hydroxy-1,2,6-hexanetricarboxylic acid	0	124.0
C18222	1	C20H30O	Isopimaradienal	0	158.0
C07490	1	C2H3Cl3O	Trichloroethanol; 2,2,2-Trichloroethanol	0	74.0
C00160	1	C2H4O3	Glycolate; Glycolic acid; Hydroxyacetic acid	0	40.0
C11529	1	C3H5N2O3R	N-Carbamoyl-L-amino acid; N-Carbamoyl-L-2-amino acid	1	0.0
C03273	1	C5H8O3	5-Oxopentanoate; Glutarate semialdehyde	0	62.0
C00117	1	C5H11O8P	D-Ribose 5-phosphate; Ribose 5-phosphate	0	120.0
C05629	1	C9H10O2	Phenylpropanoate; 3-Phenyl-propionic acid; 3-Phenylpropanoic acid; 3-Phenylpropionic acid	0	80.0
C18243	1	C6H3Cl3O5	2,3,5-Trichloromaleylacetate	0	130.0
C00658	1	C24H37N7O17P3SR	trans-2,3-Dehydroacyl-CoA; trans-2-Enoyl-CoA; trans-2,3-Didehydroacyl-CoA; trans-Didehydroacyl-CoA; (2E)-2-Enoyl-CoA	1	0.0
C05835	1	C10H9NO4	2-Formaminobenzoylacetate	0	108.0
C06612	1	C3H5ClO	cis-3-Chloro-2-propene-1-ol; cis-3-Chloroallyl alcohol	0	48.0
C03107	1	C6H10O6	D-Glucono-1,4-lactone	0	94.0
C07474	1	C11H16N2O2	Pilocarpine	0	112.0
C01380	1	C2H6O2	Ethylene glycol; 1,2-Ethanediol; Ethane-1,2-diol	0	34.0
C17205	1	C3H6O6S	(R)-2-O-Sulfolactate	0	88.0
C04030	1	C17H18N5O10P	(2,3-Dihydroxybenzoyl)adenylate	0	250.0
C05515	1	C5H6N4O3	5-Ureido-4-imidazole carboxylate; 4-Ureido-5-imidazolecarboxylic acid	0	88.0
C02024	1	C6H10O7	D-Mannuronate; D-Mannuronic acid	0	102.0
C03761	1	C6H10O5	3-Hydroxy-3-methylglutarate; 3-Hydorxy-3-methylglutaric acid; beta-Hydroxy-beta-methylglutaric acid; Dicrotalic acid; 3-Hydroxy-3-methylpentanedioic acid; Meglutol	0	86.0
C06130	1	C57H99N2O32R	Gal-alpha1->3(Fuc-alpha1->2)Gal-beta1->3GlcNAc-beta1->3LacCer	1	0.0
C00372	1	(C12H20O10)n	Dextran; 1,6-alpha-D-Glucan; (1,6-alpha-D-Glucosyl)n; (1,6-alpha-D-Glucosyl)n+1; (1,6-alpha-D-Glucosyl)m; (1,6-alpha-D-Glucosyl)m+1; Dextran 40; Dextran 70; Dextran 75	0	0.0
C12459	1	C12H14O2	3-Dimethylallyl-4-hydroxybenzaldehyde	0	102.0
C04121	1	C17H26N3O15P	CMP-3-deoxy-D-manno-octulosonate; CMP-KDO	0	284.0
C00236	1	C3H8O10P2	3-Phospho-D-glyceroyl phosphate; 1,3-Bisphospho-D-glycerate; (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid; D-Glycerate 1,3-diphosphate	0	136.0
C01371	1	HR	Alkane; RH	1	0.0
C04756	1	C8H14NO7PR2	O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine; Phosphatidalethanolamine; Plasmenylethanolamine; Ethanolamineplasmalogen; 2-Acyl-1-(1-alkenyl)-sn-glycero-3-phosphoethanolamine; 1-Alkenyl-2-acylglycerophosphoethanolamine	2	0.0
C05272	1	C37H64N7O17P3S	trans-Hexadec-2-enoyl-CoA; trans-2-Hexadecenoyl-CoA; (2E)-Hexadecenoyl-CoA	0	532.0
C05345	1	C6H13O9P	beta-D-Fructose 6-phosphate	0	
C06715	1	C28H44N7O20P3S	3-Oxopimeloyl-CoA; 3-Ketopimelyl-CoA	0	482.0
C02704	1	CH4O4S	Monomethyl sulfate; Methyl sulfate	0	58.0
C20635	1	C11H11NO2	Methyl (indol-3-yl)acetate	0	
C05616	1	C8H8O5	3-O-Methylgallate; 3-O-Methylgallic acid	0	96.0
C04290	1	C16H20N2O2	4-(3-Methylbut-2-enyl)-L-tryptophan; 4-Dimethylallyl-L-tryptophan	0	146.0
C20432	1	C30H50	C30 Botryococcene	0	
C12299	1	C11H12O2	Cinnamyl acetate; 3-Phenyl-2-propenyl acetate	0	94.0
C00718	1	(C6H10O5)n	Amylose; Amylose chain; (1,4-alpha-D-Glucosyl)n; (1,4-alpha-D-Glucosyl)n+1; (1,4-alpha-D-Glucosyl)n-1; 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose; 1,4-alpha-D-Glucan	0	0.0
C04429	1	(C11H21O12P)n	beta-D-Glucosylpoly(ribitol phosphate)	0	0.0
C15532	1	C8H15N3O4	N-Acetyl-L-citrulline	0	116.0
C02983	1	C12H14N2O2	Abrine; L-Abrine; N-Methyl-L-tryptophane	0	116.0
C06018	1	C18H29N3O15P2	dTDP-4-acetamido-4,6-dideoxy-D-glucose; dTDP-4-acetamido-4,6-dideoxy-alpha-D-glucose; dTDP-N-acetylviosamine	0	308.0
C08733	1	C3H5N5O	Ammeline; 2-Hydroxy-4,6-diamino-1,3,5-triazine	0	66.0
C15536	1	C19H30O3	Dihydromonacolin L	0	168.0
C00663	1	C6H13O9P	beta-D-Glucose 1-phosphate	0	
C12213	1	C6H14NO8P	Kanosamine 6-phosphate; D-Kanosamine 6-phosphate	0	136.0
C02354	1	C9H12N3O7P	2',3'-Cyclic CMP	0	158.0
C07123	1	C8H10O4	2-Hydroxy-6-oxo-octa-2,4-dienoate	0	90.0
C00679	1	C6H8O7	5-Dehydro-4-deoxy-D-glucarate	0	100.0
C10157	1	C22H25NO2	Lobelanine	0	180.0
C00933	1	C16H24NO5	Sinapine; Sinapoylcholine	0	166.0
C03618	1	C5H9NO4	L-threo-3-Methylaspartate	0	78.0
C00540	1	C30H42N7O17P3S	Cinnamoyl-CoA; S-(Cinnamoyl) coenzyme A	0	468.0
C01613	1	C24H42O21	Stachyose	0	354.0
C01720	1	C6H12O6	L-Fuconate	0	96.0
C04002	1	C7H8O6	(Z)-But-1-ene-1,2,4-tricarboxylate; Homo-cis-aconitate; cis-Homoaconitate; (Z)-1,2,4-But-1-enetricarboxylic acid	0	98.0
C01031	1	C11H17N3O7S	S-Formylglutathione	0	176.0
C00273	1	C6H10O6	5-Dehydro-D-fructose	0	94.0
C18028	1	C6H10O5	L-Fucono-1,5-lactone	0	86.0
C00688	1	C16H24N2O15P2	dTDP-4-dehydro-beta-L-rhamnose; dTDP-4-dehydro-6-deoxy-beta-L-mannose; dTDP-4-oxo-6-deoxy-L-mannose; dTDP-4-oxo-L-rhamnose	0	284.0
C06145	1	C4H4O	3-Butyn-1-al	0	36.0
C00226	1	CH3OR	Primary alcohol; 1-Alcohol	1	0.0
C01241	1	C8H14NO8PR2	Phosphatidyl-N-methylethanolamine	2	0.0
C02964	1	C12H22O11	4-O-beta-D-Glucopyranosyl-D-mannose	0	182.0
C02557	1	C25H40N7O19P3S	Methylmalonyl-CoA; Methylmalonyl coenzyme A; 2-Methylmalonyl-CoA	0	452.0
C20848	1	C6H14O10P2	(R)-Mevalonate 3,5-bisphosphate; (R)-3,5-Diphosphomevalonate; (R)-3,5-Bisphosphomevalonate	0	
C03354	1	C4H11NS	3-Methylthiopropanamine; 3-Methylthiopropylamine	0	58.0
C05973	1	C6H13NO7PR	2-Acyl-sn-glycero-3-phosphoethanolamine; L-1-Lysophosphatidylethanolamine; O-(2-Acyl-sn-glycero-3-phospho)-ethanolamine	1	0.0
C09663	1	C15H26O	alpha-Eudesmol	0	124.0
C12125	1	C16H12O4	Isoformononetin; 4'-Hydroxy-7-methoxyisoflavone	0	140.0
C05274	1	C31H54N7O17P3S	Decanoyl-CoA	0	486.0
C00259	1	C5H10O5	L-Arabinose; L-Arabinopyranose	0	80.0
C18174	1	C7H17N3O2	Carboxynorspermidine	0	96.0
C06892	1	C6H10O6	2-Deoxy-5-keto-D-gluconic acid; DKH; 5-Dehydro-2-deoxy-D-gluconate; 2-Deoxy-D-threo-hex-5-ulosonic acid	0	94.0
C00519	1	C2H7NO2S	Hypotaurine; 2-Aminoethanesulfinic acid	0	58.0
C20267	1	C6H10N4	4-Amino-5-aminomethyl-2-methylpyrimidine	0	
C00984	1	C6H12O6	alpha-D-Galactose	0	
C15522	1	C9H15N5O4	4a-Hydroxytetrahydrobiopterin; 4a-Hydroxy-5,6,4,8-tetrahydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-5,6,7,8-tetrahydro-4a-hydroxypterin	0	136.0
C15651	1	C6H11O6PS	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate; 2-Hydroxy-5-(methylthio)-3-oxopent-1-enyl phosphate	0	126.0
C03585	1	C6H5ClO4	3-Chloro-cis,cis-muconate	0	90.0
C06360	1	C12H14O2	Propyl cinnamate; 3-Phenylpropenoic acid propyl ester	0	102.0
C09847	1	C10H16O	cis-Citral; Neral	0	84.0
C01220	1	C6H14O12P2	1D-myo-Inositol 1,4-bisphosphate; D-myo-Inositol 1,4-bisphosphate; myo-Inositol 1,4-bisphosphate; Inositol 1,4-bisphosphate	0	176.0
C00093	1	C3H9O6P	sn-Glycerol 3-phosphate; Glycerophosphoric acid; D-Glycerol 1-phosphate	0	90.0
C01743	1	C12H25N3O7	Paromamine; Neomycin D	0	174.0
C06524	1	C9H12N2	Nornicotine	0	80.0
C09756	1	C16H14O6	Homoeriodictyol; Eriodictyol 3'-methyl ether	0	158.0
C05364	1	C7H6O7	4-Carboxy-2-oxo-3-hexenedioate	0	104.0
C03373	1	C8H14N3O7P	Aminoimidazole ribotide; AIR; 1-(5'-Phosphoribosyl)-5-aminoimidazole; 5'-Phosphoribosyl-5-aminoimidazole; 1-(5-Phospho-D-ribosyl)-5-aminoimidazole; 5-Amino-1-(5-phospho-D-ribosyl)imidazole	0	154.0
C00106	1	C4H4N2O2	Uracil	0	58.0
C11923	1	C16H26N2O14P2	dTDP-D-olivose; dTDP-2,6-dideoxy-D-glucose; dTDP-alpha-D-olivose	0	278.0
