EC,cofactor_id,External Dependence,Substitution Logic,Inhibitor,in_kegg,in_expasy,in_pdbe,comment_kegg,ec_names,comment_expasy,HET,cpdsViaHETs,in_ebi,cofactor_ebi,cofactor_expasy,cofactor_pdbe,match_via_ebi_cofactor,match_via_expasy_cofactor,match_via_kegg,match_via_pdbe_cofactor,source_ebi,EC3_description,EC_cpds,cofactorCIDsInEC,cofactorCIDsInEC_count
1.14.12.23,2Fe2S,TRUE,,,TRUE,,,"This enzyme is a member of the naphthalene family of bacterial Rieske non-heme iron dioxygenases. It comprises a multicomponent system, containing a Rieske [2Fe-2S] ferredoxin, an NADH-dependent flavoprotein reductase (EC 1.18.1.3, ferredoxin---NAD+ reductase), and an alpha3beta3 oxygenase. The enzyme forms of a cis-dihydroxylated product that spontaneously rearranges to form a catechol with accompanying release of nitrite. It can typically act on many different nitroaromatic compounds, including chlorinated species. Enzymes found in different strains may have different substrate preferences. Requires Fe2+.","['nitroarene dioxygenase', 'cnbA (gene name)']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'flavoprotein', 'NADH', 'iron']",,,"With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","['C00003', 'C00004', 'C00007', 'C00080', 'C00088', 'C00090', 'C06813']",[],0
1.14.12.24,2Fe2S,TRUE,,,TRUE,,,"This enzyme, characterized from the bacterium Burkholderia sp. strain DNT, is a member of the naphthalene family of bacterial Rieske non-heme iron dioxygenases. It comprises a multicomponent system, containing a Rieske [2Fe-2S] ferredoxin, an NADH-dependent flavoprotein reductase (EC 1.18.1.3, ferredoxin---NAD+ reductase), and an alpha3beta3 oxygenase. The enzyme forms a cis-dihydroxylated product that spontaneously rearranges to form a catechol with accompanying release of nitrite. It does not act on nitrobenzene. cf. EC 1.14.12.23, nitroarene dioxygenase.","['2,4-dinitrotoluene dioxygenase', 'dntA (gene name)']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'flavoprotein', 'NADH', 'iron']",,,"With NADH or NADPH as one donor, and incorporation of two atoms of oxygen into one donor.","['C00003', 'C00004', 'C00007', 'C00080', 'C00088', 'C11006', 'C18315']",[],0
1.14.13.111,2Fe2S,TRUE,,,TRUE,,,"A flavoprotein. Methanesulfonate is the simplest of the sulfonates and is a substrate for the growth of certain methylotrophic microorganisms. Compared with EC 1.14.14.5, alkanesulfonate monooxygenase, this enzyme has a restricted substrate range that includes only the short-chain aliphatic sulfonates (methanesulfonate to butanesulfonate) and excludes all larger molecules, such as arylsulfonates [1]. The enzyme from the bacterium Methylosulfonomonas methylovora is a multicomponent system comprising a hydroxylase, a reductase (MsmD) and a ferredoxin (MsmC). The hydroxylase has both large (MsmA) and small (MsmB) subunits, with each large subunit containing a Rieske-type [2Fe-2S] cluster. cf. EC 1.14.14.34, methanesulfonate monooxygenase (FMNH2).","['methanesulfonate monooxygenase (NADH)', 'mesylate monooxygenase', 'mesylate,reduced-FMN:oxygen oxidoreductase', 'MsmABC', 'methanesulfonic acid monooxygenase', 'MSA monooxygenase', 'MSAMO']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'flavoprotein', 'FMN']",,,"With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00003', 'C00004', 'C00007', 'C00067', 'C00080', 'C00094', 'C11145']",[],0
1.14.13.236,2Fe2S,TRUE,,,TRUE,,,"This bacterial enzyme belongs to a family of soluble diiron hydroxylases that includes toluene-, benzene-, xylene- and methane monooxygenases, phenol hydroxylases, and alkene epoxidases. The enzyme comprises a four-component complex that includes a hydroxylase, NADH-ferredoxin oxidoreductase, a Rieske-type [2Fe-2S] ferredoxin, and an effector protein.","['toluene 4-monooxygenase', 'TMO']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'NADH']",,,"With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00003', 'C00004', 'C00007', 'C00080', 'C01455', 'C01468']",[],0
1.14.13.239,2Fe2S,TRUE,,,TRUE,,,"The bacterial enzyme is a complex consisting of a reductase and an oxygenase components. The reductase subunit contains a flavin and a plant-type ferredoxin [2Fe-2S] cluster, while the oxygenase subunit is a Rieske-type protein in which a [2Fe-2S] cluster is coordinated by two histidine and two cysteine residues.","['carnitine monooxygenase', 'cntAB (gene names)', 'yeaWX (gene names)']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'flavin']",,,"With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00003', 'C00004', 'C00005', 'C00006', 'C00007', 'C00080', 'C00318', 'C00565', 'C21761']",[],0
1.14.13.243,2Fe2S,TRUE,,,TRUE,,,"The enzyme, characterized from the bacterium Burkholderia cepacia, belongs to a class of nonheme, oxygen-dependent diiron enzymes. It contains a hydroxylase component with two binuclear iron centers, an NADH-oxidoreductase component containing FAD and a [2Fe-2S] iron-sulfur cluster, and a third component involved in electron transfer between the hydroxylase and the reductase. The enzyme dihydroxylates its substrate in two sequential hydroxylations, initially forming 2-methylphenol, which is hydroxylated to 3-methylcatechol.","['toluene 2-monooxygenase', 'tomA1/2/3/4/5 (gene names)', 'toluene ortho-monooxygenase']",,,,,,,,,,"['2Fe-2S', 'FAD', 'heme', 'NADH', 'iron']",,,"With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00003', 'C00004', 'C00007', 'C00080', 'C01455', 'C01542', 'C02923']",[],0
1.14.13.246,2Fe2S,TRUE,,,TRUE,,,"Contains a Rieske [2Fe-2S] iron-sulfur cluster. This bacterial enzyme (SdmA) participates in the biosynthesis of bacterial sterols. Together with SdmB it forms an enzyme system that removes one methyl group from the C-4 position of 4,4-dimethylated steroid molecules. SdmA catalyses three successive oxidations of the C-4beta methyl group, turning it into a carboxylate group; the second enzyme, SdmB, is a bifunctional enzyme that catalyses two different activities. As EC 1.1.1.417, 3beta-hydroxysteroid-4beta-carboxylate 3-dehydrogenase (decarboxylating), it catalyses an oxidative decarboxylation that results in reduction of the 3beta-hydroxy group at the C-3 carbon to an oxo group. As EC 1.1.1.270, 3beta-hydroxysteroid 3-dehydrogenase, it reduces the 3-oxo group back to a 3beta-hydroxyl. Unlike the animal/fungal enzyme EC 1.14.18.9, 4alpha-methylsterol monooxygenase, and the plant enzymes EC 1.14.18.10, plant 4,4-dimethylsterol C-4alpha-methyl-monooxygenase, and EC 1.14.18.11, plant 4alpha-monomethylsterol monooxygenase, this enzyme acts preferentially on the 4beta-methyl group. Since no epimerization of the remaining C-4alpha methyl group occurs, the enzyme can only remove one methyl group, leaving a 4alpha-monomethylated product. Known substrates include 4,4-dimethyl-5alpha-cholest-8-en-3beta-ol and 14-demethyllanosterol.","['4beta-methylsterol monooxygenase', 'sdmA (gene name)']",,,,,,,,,,['2Fe-2S'],,,"With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00003', 'C00004', 'C00007', 'C00080', 'C22103', 'C22104', 'C22105', 'C22106']",[],0
1.14.13.247,2Fe2S,TRUE,,,TRUE,,,"The enzyme, characterized from the bacterium Sinorhizobium meliloti 1021, consists of three different types of subunits. The catalytic unit contains a Rieske [2Fe-2S] iron-sulfur cluster, and catalyses the monooxygenation of a methyl group. The resulting N-methoxyl group is unstable and decomposes spontaneously to form formaldehyde. The other subunits are involved in the transfer of electrons from NAD(P)H to the catalytic subunit.","['stachydrine N-demethylase', 'L-proline betaine N-demethylase', 'stc2 (gene name)']",,,,,,,,,,"['2Fe-2S', 'NAD']",,,"With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00003', 'C00004', 'C00005', 'C00006', 'C00007', 'C00067', 'C00080', 'C10172', 'C22223']",[],0
1.14.13.39,2Fe2S,TRUE,"2Fe2S,FAD+FMN",,TRUE,,,"The enzyme consists of linked oxygenase and reductase domains. The eukaryotic enzyme binds FAD, FMN, heme (iron protoporphyrin IX) and tetrahydrobiopterin, and its two domains are linked via a regulatory calmodulin-binding domain. Upon calcium-induced calmodulin binding, the reductase and oxygenase domains form a complex, allowing electrons to flow from NADPH via FAD and FMN to the active center. The reductase domain of the enzyme from the bacterium Sorangium cellulosum utilizes a [2Fe-2S] cluster to transfer the electrons from NADPH to the active center. cf. EC 1.14.14.47, nitric-oxide synthase (flavodoxin).","['nitric-oxide synthase (NADPH)', 'NOS (gene name)', 'nitric oxide synthetase (ambiguous)', 'endothelium-derived relaxation factor-forming enzyme', 'endothelium-derived relaxing factor synthase', 'NO synthase (ambiguous)', 'NADPH-diaphorase (ambiguous)']",,,,,,,,,,"['calcium', '2Fe-2S', 'flavodoxin', 'FAD', 'FMN', 'heme', 'NAD', 'tetrahydrobiopterin', 'iron']",,,"With NADH or NADPH as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00005', 'C00006', 'C00007', 'C00062', 'C00080', 'C00327', 'C00533', 'C05933']",[],0
1.14.14.84,2Fe2S,TRUE,,,TRUE,,,A cytochrome P-450 (heme-thiolate) protein found in plants. The secondary electron donor is a specific [2Fe-2S] ferredoxin from the same bacterial strain.,"['linalool 8-monooxygenase', 'P-450lin', 'CYP111']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'heme', 'cytochrome']",,,"With reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00007', 'C03024', 'C03161', 'C03985', 'C04433', 'C11388', 'C11389', 'C20221']",[],0
1.14.15.25,2Fe2S,TRUE,,,TRUE,,,"The enzyme, characterized from several Pseudomonas strains, initiates p-cymene catabolism through hydroxylation of the methyl group. The enzyme has a distinct preference for substrates containing at least an alkyl or heteroatom substituent at the para-position of toluene. The electrons are provided by a reductase (EC 1.18.1.3, ferredoxin---NAD+ reductase) that transfers electrons from NADH via FAD and an [2Fe-2S] cluster. In Pseudomonas chlororaphis the presence of a third component of unknown function greatly increases the activity. cf. EC 1.14.15.26, toluene methyl-monooxygenase.","['p-cymene methyl-monooxygenase', 'cymAa (gene name)', 'cymA (gene name)', 'p-cymene methyl hydroxylase']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'FAD', 'NAD+']",,,"With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00007', 'C00080', 'C00138', 'C00139', 'C06575', 'C06576']",[],0
1.14.15.26,2Fe2S,TRUE,,,TRUE,,,"The enzyme, characterized from several Pseudomonas strains, catalyses the first step in the degradation of toluenes and xylenes. It has a broad substrate specificity and is also active with substituted compounds, such as chlorotoluenes. The electrons are provided by a reductase (EC 1.18.1.3, ferredoxin---NAD+ reductase) that transfers electrons from NADH via FAD and an [2Fe-2S] cluster. The enzyme can also act on its products, producing gem-diols that spontaneously dehydrate to form aldehydes.","['toluene methyl-monooxygenase', 'xylM (gene names)', 'ntnM (gene names)']",,,,,,,,,,"['2Fe-2S', 'ferredoxin', 'FAD', 'NAD+']",,,"With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00007', 'C00080', 'C00138', 'C00139', 'C00556', 'C01455', 'C06756', 'C06757', 'C07208', 'C07212', 'C07213', 'C07216']",[],0
1.14.15.7,2Fe2S,TRUE,,,TRUE,,,"The spinach enzyme, which is located in the chloroplast, contains a Rieske-type [2Fe-2S] cluster, and probably also a mononuclear Fe centre. Requires Mg2+. Catalyses the first step of glycine betaine synthesis. In many bacteria, plants and animals, betaine is synthesized in two steps: (1) choline to betaine aldehyde and (2) betaine aldehyde to betaine. Different enzymes are involved in the first reaction. In plants, the reaction is catalysed by this enzyme whereas in animals and many bacteria it is catalysed by either membrane-bound EC 1.1.99.1 (choline dehydrogenase) or soluble EC 1.1.3.17 (choline oxidase) [7]. The enzyme involved in the second step, EC 1.2.1.8 (betaine-aldehyde dehydrogenase), appears to be the same in plants, animals and bacteria. In some bacteria, betaine is synthesized from glycine through the actions of EC 2.1.1.156 (glycine/sarcosine N-methyltransferase) and EC 2.1.1.157 (sarcosine/dimethylglycine N-methyltransferase).",['choline monooxygenase'],,,,,,,,,,"['Mg2+', '2Fe-2S', 'Fe ']",,,"With reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00007', 'C00080', 'C00114', 'C00138', 'C00139', 'C00576', 'C07345']",[],0
1.14.18.2,2Fe2S,TRUE,,,TRUE,,,This enzyme contains both a Rieske-type [2Fe-2S] cluster and a second iron site. The ferricytochrome b5 produced is reduced by NADH and cytochrome-b5 reductase (EC 1.6.2.2). The enzyme can be activated by Fe2+ or Fe3+.,"['CMP-N-acetylneuraminate monooxygenase', 'CMP-N-acetylneuraminic acid hydroxylase', 'CMP-Neu5Ac hydroxylase', 'cytidine monophosphoacetylneuraminate monooxygenase', 'N-acetylneuraminic monooxygenase', ""cytidine-5'-monophosphate-N-acetylneuraminic acid hydroxylase""]",,,,,,,,,,"['2Fe-2S', 'cytochrome', 'NADH', 'iron']",,,"With another compound as one donor, and incorporation of one atom of oxygen.","['C00001', 'C00007', 'C00080', 'C00128', 'C00270', 'C00996', 'C00999', 'C03410', 'C03691']",[],0
1.17.1.4,2Fe2S,TRUE,"2Fe2S+FAD+Mo,NAD",,TRUE,,,"Acts on a variety of purines and aldehydes, including hypoxanthine. The mammalian enzyme can also convert all-trans retinol to all-trans-retinoate, while the substrate is bound to a retinoid-binding protein [14]. The enzyme from eukaryotes contains [2Fe-2S], FAD and a molybdenum centre. The mammalian enzyme predominantly exists as the NAD-dependent dehydrogenase (EC 1.17.1.4). During purification the enzyme is largely converted to an O2-dependent form, xanthine oxidase (EC 1.17.3.2). The conversion can be triggered by several mechanisms, including the oxidation of cysteine thiols to form disulfide bonds [2,6,8,15] [which can be catalysed by EC 1.8.4.7, enzyme-thiol transhydrogenase (glutathione-disulfide) in the presence of glutathione disulfide] or limited proteolysis, which results in irreversible conversion. The conversion can also occur in vivo [2,7,15].","['xanthine dehydrogenase', 'NAD+-xanthine dehydrogenase', 'xanthine-NAD+ oxidoreductase', 'xanthine/NAD+ oxidoreductase', 'xanthine oxidoreductase']",,,,,,,,,,"['2Fe-2S', 'FAD', 'glutathione', 'NAD']",,,With NAD(+) or NADP(+) as acceptor.,"['C00001', 'C00003', 'C00004', 'C00080', 'C00262', 'C00366', 'C00385']",[],0
1.17.2.1,2Fe2S,TRUE,,,TRUE,,,"This two-component enzyme from Pseudomonas belongs to the family of xanthine dehydrogenases, but differs from most other members of this family. While most members contain an FAD cofactor, the large subunit of this enzyme contains three c-type cytochromes, enabling it to interact with the electron transfer chain, probably by delivering the electrons to a cytochrome oxidase. The small subunit contains a typical molybdopterin cytosine dinucleotide(MCD) cofactor and two [2Fe-2S] clusters [1].","['nicotinate dehydrogenase (cytochrome)', 'nicotinic acid hydroxylase', 'nicotinate hydroxylase']",,,,,,,,,,"['2Fe-2S', 'FAD', 'cytochrome', 'molybdopterin']",,,With a cytochrome as acceptor.,"['C00001', 'C00080', 'C00253', 'C00923', 'C00924', 'C01020']",[],0
