ec,rule,rn
1.1.1.1,2007_4002_7524,R00624
1.1.1.1,2007_4002_7524,R08310
1.1.1.10,2003,R01904
1.1.1.100,2007_304_6094,R10116
1.1.1.100,2007_304_6094,R10120
1.1.1.100,2007_304_6094,R02767
1.1.1.100,2007_304_6094,R04533
1.1.1.100,2007_304_6094,R04534
1.1.1.100,2007_304_6094,R04536
1.1.1.100,2007_304_6094,R04543
1.1.1.100,2007_304_6094,R04566
1.1.1.100,2007_304_6094,R04953
1.1.1.100,2007_304_6094,R04964
1.1.1.100,2007_304_6094,R07763
1.1.1.100,2003_3294_7581,R10116
1.1.1.100,2003_3294_7581,R10120
1.1.1.100,2003_3294_7581,R02767
1.1.1.100,2003_3294_7581,R04533
1.1.1.100,2003_3294_7581,R04534
1.1.1.100,2003_3294_7581,R04536
1.1.1.100,2003_3294_7581,R04543
1.1.1.100,2003_3294_7581,R04566
1.1.1.100,2003_3294_7581,R04953
1.1.1.100,2003_3294_7581,R04964
1.1.1.100,2003_3294_7581,R07763
1.1.1.100,2003_222_236,R10116
1.1.1.100,2003_222_236,R10120
1.1.1.100,2003_222_236,R02767
1.1.1.100,2003_222_236,R04533
1.1.1.100,2003_222_236,R04534
1.1.1.100,2003_222_236,R04536
1.1.1.100,2003_222_236,R04543
1.1.1.100,2003_222_236,R04566
1.1.1.100,2003_222_236,R04953
1.1.1.100,2003_222_236,R04964
1.1.1.100,2003_222_236,R07763
1.1.1.100,2003_2007_222_236_304_6094_7581,R10116
1.1.1.100,2003_2007_222_236_304_6094_7581,R10120
1.1.1.100,2003_2007_222_236_304_6094_7581,R02767
1.1.1.100,2003_2007_222_236_304_6094_7581,R04533
1.1.1.100,2003_2007_222_236_304_6094_7581,R04534
1.1.1.100,2003_2007_222_236_304_6094_7581,R04536
1.1.1.100,2003_2007_222_236_304_6094_7581,R04543
1.1.1.100,2003_2007_222_236_304_6094_7581,R04566
1.1.1.100,2003_2007_222_236_304_6094_7581,R04953
1.1.1.100,2003_2007_222_236_304_6094_7581,R04964
1.1.1.100,2003_2007_222_236_304_6094_7581,R07763
1.1.1.100,7579,R10116
1.1.1.100,7579,R10120
1.1.1.100,7579,R02767
1.1.1.100,7579,R04533
1.1.1.100,7579,R04534
1.1.1.100,7579,R04536
1.1.1.100,7579,R04543
1.1.1.100,7579,R04566
1.1.1.100,7579,R04953
1.1.1.100,7579,R04964
1.1.1.100,7579,R07763
1.1.1.100,2003_7581,R10116
1.1.1.100,2003_7581,R10120
1.1.1.100,2003_7581,R02767
1.1.1.100,2003_7581,R04533
1.1.1.100,2003_7581,R04534
1.1.1.100,2003_7581,R04536
1.1.1.100,2003_7581,R04543
1.1.1.100,2003_7581,R04566
1.1.1.100,2003_7581,R04953
1.1.1.100,2003_7581,R04964
1.1.1.100,2003_7581,R07763
1.1.1.100,2003_236,R10116
1.1.1.100,2003_236,R10120
1.1.1.100,2003_236,R02767
1.1.1.100,2003_236,R04533
1.1.1.100,2003_236,R04534
1.1.1.100,2003_236,R04536
1.1.1.100,2003_236,R04543
1.1.1.100,2003_236,R04566
1.1.1.100,2003_236,R04953
1.1.1.100,2003_236,R04964
1.1.1.100,2003_236,R07763
1.1.1.100,301,R10116
1.1.1.100,301,R10120
1.1.1.100,301,R02767
1.1.1.100,301,R04533
1.1.1.100,301,R04534
1.1.1.100,301,R04536
1.1.1.100,301,R04543
1.1.1.100,301,R04566
1.1.1.100,301,R04953
1.1.1.100,301,R04964
1.1.1.100,301,R07763
1.1.1.100,2003,R10116
1.1.1.100,2003,R10120
1.1.1.100,2003,R02767
1.1.1.100,2003,R04533
1.1.1.100,2003,R04534
1.1.1.100,2003,R04536
1.1.1.100,2003,R04543
1.1.1.100,2003,R04566
1.1.1.100,2003,R04953
1.1.1.100,2003,R04964
1.1.1.100,2003,R07763
1.1.1.100,132,R10116
1.1.1.100,132,R10120
1.1.1.100,132,R02767
1.1.1.100,132,R04533
1.1.1.100,132,R04534
1.1.1.100,132,R04536
1.1.1.100,132,R04543
1.1.1.100,132,R04566
1.1.1.100,132,R04953
1.1.1.100,132,R04964
1.1.1.100,132,R07763
1.1.1.100,132_2003_3294_7581,R10116
1.1.1.100,132_2003_3294_7581,R10120
1.1.1.100,132_2003_3294_7581,R02767
1.1.1.100,132_2003_3294_7581,R04533
1.1.1.100,132_2003_3294_7581,R04534
1.1.1.100,132_2003_3294_7581,R04536
1.1.1.100,132_2003_3294_7581,R04543
1.1.1.100,132_2003_3294_7581,R04566
1.1.1.100,132_2003_3294_7581,R04953
1.1.1.100,132_2003_3294_7581,R04964
1.1.1.100,132_2003_3294_7581,R07763
1.1.1.100,132_2003_301_3294_7581,R10116
1.1.1.100,132_2003_301_3294_7581,R10120
1.1.1.100,132_2003_301_3294_7581,R02767
1.1.1.100,132_2003_301_3294_7581,R04533
1.1.1.100,132_2003_301_3294_7581,R04534
1.1.1.100,132_2003_301_3294_7581,R04536
1.1.1.100,132_2003_301_3294_7581,R04543
1.1.1.100,132_2003_301_3294_7581,R04566
1.1.1.100,132_2003_301_3294_7581,R04953
1.1.1.100,132_2003_301_3294_7581,R04964
1.1.1.100,132_2003_301_3294_7581,R07763
1.1.1.100,2007_304_6094_7581,R10116
1.1.1.100,2007_304_6094_7581,R10120
1.1.1.100,2007_304_6094_7581,R02767
1.1.1.100,2007_304_6094_7581,R04533
1.1.1.100,2007_304_6094_7581,R04534
1.1.1.100,2007_304_6094_7581,R04536
1.1.1.100,2007_304_6094_7581,R04543
1.1.1.100,2007_304_6094_7581,R04566
1.1.1.100,2007_304_6094_7581,R04953
1.1.1.100,2007_304_6094_7581,R04964
1.1.1.100,2007_304_6094_7581,R07763
1.1.1.103,2003_236,R01465
1.1.1.103,2003,R01465
1.1.1.107,2003,R01707
1.1.1.112,2002,R03582
1.1.1.112,2002,R03583
1.1.1.117,2002,R01574
1.1.1.117,2002,R01575
1.1.1.118,2003,R00300
1.1.1.12,2003_236,R01903
1.1.1.120,2003_298,R01097
1.1.1.120,2003_298,R01096
1.1.1.120,2003_236,R01097
1.1.1.120,2003_236,R01096
1.1.1.125,2003,R01542
1.1.1.125,2003,R04049
1.1.1.126,2003,R01543
1.1.1.130,276,R02637
1.1.1.130,276,R02639
1.1.1.132,129_2003,R00880
1.1.1.133,2003,R02777
1.1.1.138,2003,R00870
1.1.1.14,2003_236,R00875
1.1.1.14,2003_236,R01896
1.1.1.14,2003_236,R07145
1.1.1.14,2003,R00875
1.1.1.14,2003,R01896
1.1.1.14,2003,R07145
1.1.1.140,2003,R05607
1.1.1.140,2003,R07133
1.1.1.141,2003,R02683
1.1.1.141,2003,R02580
1.1.1.145,2003,R01837
1.1.1.145,2003,R02216
1.1.1.145,2003,R02499
1.1.1.145,2003,R02840
1.1.1.145,2003,R03327
1.1.1.145,2003,R04163
1.1.1.145,2003,R04678
1.1.1.145,2003,R04849
1.1.1.145,2003,R09920
1.1.1.145,2003,R03176
1.1.1.146,2003,R09420
1.1.1.146,2003,R02836
1.1.1.146,2003,R03203
1.1.1.146,2003,R03848
1.1.1.146,2003,R04758
1.1.1.146,2003,R04840
1.1.1.149,2002,R02207
1.1.1.149,2002,R02209
1.1.1.149,2002,R08958
1.1.1.149,2002,R08959
1.1.1.149,2002,R03325
1.1.1.153,2003,R01813
1.1.1.153,2003,R11762
1.1.1.153,2003,R11763
1.1.1.153,2003,R02975
1.1.1.153,2003,R08208
1.1.1.157,129_2003,R05576
1.1.1.157,129_2003,R06941
1.1.1.157,129_2003,R01976
1.1.1.159,2003,R02792
1.1.1.16,2003,R02928
1.1.1.168,2002,R03155
1.1.1.169,129_2003,R02472
1.1.1.17,129_2003,R00758
1.1.1.17,129_2003,R02703
1.1.1.170,2003,R04328
1.1.1.170,2003,R04483
1.1.1.170,2003,R07149
1.1.1.170,2003,R07494
1.1.1.170,2003,R12366
1.1.1.170,2003,R12404
1.1.1.170,2003,R12406
1.1.1.178,2003,R04203
1.1.1.179,2003_298,R01430
1.1.1.18,2003_298,R01183
1.1.1.184,2003,R02581
1.1.1.184,2003,R03557
1.1.1.184,2003,R04285
1.1.1.188,2002,R02799
1.1.1.188,2002,R02684
1.1.1.189,2002,R02581
1.1.1.19,2002,R01481
1.1.1.193,2492_7501,R03458
1.1.1.194,217_304,R02593
1.1.1.195,217_304,R03918
1.1.1.195,217_304,R06570
1.1.1.195,217_304,R06571
1.1.1.195,217_304,R07437
1.1.1.195,217_304,R03054
1.1.1.195,2003_236,R02593
1.1.1.195,2003_236,R03918
1.1.1.195,2003_236,R06570
1.1.1.195,2003_236,R06571
1.1.1.195,2003_236,R07437
1.1.1.195,2003_236,R03054
1.1.1.195,2003,R02593
1.1.1.195,2003,R03918
1.1.1.195,2003,R06570
1.1.1.195,2003,R06571
1.1.1.195,2003,R07437
1.1.1.195,2003,R03054
1.1.1.197,2003,R04552
1.1.1.2,2003_236,R01481
1.1.1.2,2003_236,R00625
1.1.1.2,2003_236,R00746
1.1.1.2,2003_236,R01041
1.1.1.2,2003_236,R05231
1.1.1.2,2003_236,R07328
1.1.1.2,2002,R00625
1.1.1.2,2002,R00746
1.1.1.2,2002,R01041
1.1.1.2,2002,R05231
1.1.1.2,2002,R07328
1.1.1.2,2003,R01481
1.1.1.2,2003,R00625
1.1.1.2,2003,R00746
1.1.1.2,2003,R01041
1.1.1.2,2003,R05231
1.1.1.2,2003,R07328
1.1.1.20,2002,R03183
1.1.1.201,2003,R03753
1.1.1.202,2007_4002,R02377
1.1.1.202,2007_4002,R03119
1.1.1.203,2003,R10841
1.1.1.203,2003,R10842
1.1.1.205,2002_282,R08240
1.1.1.205,2002_282,R01130
1.1.1.205,2002_282_PDBChainNotFound,R08240
1.1.1.205,2002_282_PDBChainNotFound,R01130
1.1.1.205,2002,R08240
1.1.1.205,2002,R01130
1.1.1.206,2003,R02832
1.1.1.208,2003,R02548
1.1.1.209,2002,R02476
1.1.1.209,2002,R02477
1.1.1.21,2002,R02531
1.1.1.21,2002,R02577
1.1.1.21,2002,R04285
1.1.1.21,2002,R11764
1.1.1.21,2002,R01036
1.1.1.21,2002,R01093
1.1.1.21,2002,R01095
1.1.1.21,2002,R01431
1.1.1.21,2002,R01758
1.1.1.21,2002,R01759
1.1.1.21,2002,R01787
1.1.1.21,2002,R02819
1.1.1.21,2002,R02820
1.1.1.211,129_2003_2486,R01778
1.1.1.211,129_2003_2486,R04737
1.1.1.211,129_2003_2486,R04739
1.1.1.211,129_2003_2486,R04741
1.1.1.211,129_2003_2486,R04743
1.1.1.211,129_2003_2486,R04745
1.1.1.211,129_2003_2486,R04748
1.1.1.211,129_2003_2486,R07890
1.1.1.211,129_2003_2486,R07894
1.1.1.211,129_2003_2486,R07898
1.1.1.218,2002,R03591
1.1.1.218,2002,R03592
1.1.1.219,2003,R03123
1.1.1.219,2003,R03636
1.1.1.219,2003,R05038
1.1.1.219,2003,R07998
1.1.1.219,2003,R07999
1.1.1.219,2003,R11500
1.1.1.22,129_2003,R00286
1.1.1.225,2002,R03716
1.1.1.23,7524,R01163
1.1.1.23,7524,R03012
1.1.1.23,7524,R01158
1.1.1.233,2003,R02651
1.1.1.234,2003,R03827
1.1.1.234,2003,R04901
1.1.1.234,2003,R06610
1.1.1.236,2003,R06734
1.1.1.237,276,R01370
1.1.1.237,276,R01371
1.1.1.237,276,R03337
1.1.1.237,276,R03339
1.1.1.237,276,R03373
1.1.1.237,276,R12252
1.1.1.237,2003,R01370
1.1.1.237,2003,R01371
1.1.1.237,2003,R03337
1.1.1.237,2003,R03339
1.1.1.237,2003,R03373
1.1.1.237,2003,R12252
1.1.1.239,2002,R01836
1.1.1.239,2003,R01836
1.1.1.24,2003_2007,R01872
1.1.1.248,2003,R04697
1.1.1.25,2003_2007,R02413
1.1.1.25,2007_4002,R02413
1.1.1.25,2002,R02413
1.1.1.25,2002_2003_2007,R02413
1.1.1.251,2003_236,R05571
1.1.1.252,2003,R03322
1.1.1.252,2003,R02906
1.1.1.26,2003,R01388
1.1.1.26,2003,R00717
1.1.1.261,2007_4002,R05679
1.1.1.261,2007_4002,R05680
1.1.1.261,4002,R05679
1.1.1.261,4002,R05680
1.1.1.262,7510,R05837
1.1.1.262,7510,R05681
1.1.1.262,7510,R07406
1.1.1.264,2003_236,R05683
1.1.1.264,2003_236,R05684
1.1.1.265,2003,R05685
1.1.1.265,2003,R05686
1.1.1.267,166_2003_298,R05688
1.1.1.268,2003,R05689
1.1.1.27,276,R01000
1.1.1.27,276,R03104
1.1.1.27,276,R00703
1.1.1.27,2003_279,R01000
1.1.1.27,2003_279,R03104
1.1.1.27,2003_279,R00703
1.1.1.270,2003,R05691
1.1.1.270,2003,R07495
1.1.1.270,2003,R12399
1.1.1.270,2003,R12400
1.1.1.270,2003,R12401
1.1.1.270,2003,R12402
1.1.1.270,2003,R12405
1.1.1.271,2003,R07059
1.1.1.271,2003,R07060
1.1.1.271,2003,R05692
1.1.1.274,2002,R08878
1.1.1.274,2002,R05823
1.1.1.275,2003,R06117
1.1.1.276,129_2003,R10984
1.1.1.276,129_2003,R06126
1.1.1.276,129_2003,R06830
1.1.1.28,2003,R00704
1.1.1.281,2003,R03397
1.1.1.281,2003,R03399
1.1.1.282,2003_2007,R06846
1.1.1.282,2003_2007,R06847
1.1.1.283,2002,R02260
1.1.1.283,2003,R02260
1.1.1.284,2003_236,R06983
1.1.1.284,2003_236,R07140
1.1.1.289,2003,R07346
1.1.1.290,2003_6096,R04210
1.1.1.291,129_2003,R07985
1.1.1.292,2003_298,R08194
1.1.1.299,2003_279,R00342
1.1.1.299,2003_279,R00343
1.1.1.3,2003_298,R01773
1.1.1.3,2003_298,R01775
1.1.1.3,304,R01773
1.1.1.3,304,R01775
1.1.1.3,2003_298_304,R01773
1.1.1.3,2003_298_304,R01775
1.1.1.30,2003,R01361
1.1.1.300,2002,R08379
1.1.1.302,7501,R09375
1.1.1.302,7501,R09376
1.1.1.304,2003,R09078
1.1.1.305,270_7571,R07658
1.1.1.305,2003_270_7571,R07658
1.1.1.305,2003,R07658
1.1.1.307,2002,R09477
1.1.1.31,129_2003,R02047
1.1.1.31,129_2003,R05066
1.1.1.311,2003,R05352
1.1.1.313,2003,R02600
1.1.1.317,2002,R09806
1.1.1.318,2003,R10249
1.1.1.318,2003,R09930
1.1.1.318,2003,R10248
1.1.1.324,2003_236,R08499
1.1.1.324,2003_236,R09926
1.1.1.324,2003_236,R09927
1.1.1.324,2003_236,R09928
1.1.1.324,2003_236,R09929
1.1.1.325,2003,R09989
1.1.1.325,2003,R09990
1.1.1.33,2002,R02247
1.1.1.331,2003,R10129
1.1.1.335,2003_298,R10140
1.1.1.336,129_2003,R03317
1.1.1.337,276,R07136
1.1.1.337,276,R10189
1.1.1.34,304,R02082
1.1.1.34,282,R02082
1.1.1.348,2003,R07737
1.1.1.348,2003,R11877
1.1.1.35,129_2003_2486,R05066
1.1.1.35,129_2003_2486,R05305
1.1.1.35,129_2003_2486,R05575
1.1.1.35,129_2003_2486,R08094
1.1.1.35,129_2003_2486,R01975
1.1.1.35,129_2003_2486,R04203
1.1.1.35,129_2003_2486,R06941
1.1.1.35,222,R05066
1.1.1.35,222,R05305
1.1.1.35,222,R05575
1.1.1.35,222,R08094
1.1.1.35,222,R01778
1.1.1.35,222,R01975
1.1.1.35,222,R04203
1.1.1.35,222,R04737
1.1.1.35,222,R04739
1.1.1.35,222,R04741
1.1.1.35,222,R04743
1.1.1.35,222,R04745
1.1.1.35,222,R04748
1.1.1.35,222,R06941
1.1.1.35,222,R07890
1.1.1.35,222,R07894
1.1.1.35,222,R07898
1.1.1.35,2003_236_2486_327_4011_4953_7584,R05066
1.1.1.35,2003_236_2486_327_4011_4953_7584,R05305
1.1.1.35,2003_236_2486_327_4011_4953_7584,R05575
1.1.1.35,2003_236_2486_327_4011_4953_7584,R08094
1.1.1.35,2003_236_2486_327_4011_4953_7584,R01778
1.1.1.35,2003_236_2486_327_4011_4953_7584,R01975
1.1.1.35,2003_236_2486_327_4011_4953_7584,R04203
1.1.1.35,2003_236_2486_327_4011_4953_7584,R04737
1.1.1.35,2003_236_2486_327_4011_4953_7584,R04739
1.1.1.35,2003_236_2486_327_4011_4953_7584,R04741
1.1.1.35,2003_236_2486_327_4011_4953_7584,R04743
1.1.1.35,2003_236_2486_327_4011_4953_7584,R04745
1.1.1.35,2003_236_2486_327_4011_4953_7584,R04748
1.1.1.35,2003_236_2486_327_4011_4953_7584,R06941
1.1.1.35,2003_236_2486_327_4011_4953_7584,R07890
1.1.1.35,2003_236_2486_327_4011_4953_7584,R07894
1.1.1.35,2003_236_2486_327_4011_4953_7584,R07898
1.1.1.35,2003_236,R05066
1.1.1.35,2003_236,R05305
1.1.1.35,2003_236,R05575
1.1.1.35,2003_236,R08094
1.1.1.35,2003_236,R01778
1.1.1.35,2003_236,R01975
1.1.1.35,2003_236,R04203
1.1.1.35,2003_236,R04737
1.1.1.35,2003_236,R04739
1.1.1.35,2003_236,R04741
1.1.1.35,2003_236,R04743
1.1.1.35,2003_236,R04745
1.1.1.35,2003_236,R04748
1.1.1.35,2003_236,R06941
1.1.1.35,2003_236,R07890
1.1.1.35,2003_236,R07894
1.1.1.35,2003_236,R07898
1.1.1.35,2003,R05066
1.1.1.35,2003,R05305
1.1.1.35,2003,R05575
1.1.1.35,2003,R08094
1.1.1.35,2003,R01778
1.1.1.35,2003,R01975
1.1.1.35,2003,R04737
1.1.1.35,2003,R04739
1.1.1.35,2003,R04741
1.1.1.35,2003,R04743
1.1.1.35,2003,R04745
1.1.1.35,2003,R04748
1.1.1.35,2003,R06941
1.1.1.35,2003,R07890
1.1.1.35,2003,R07894
1.1.1.35,2003,R07898
1.1.1.35,4033_4052_633,R05066
1.1.1.35,4033_4052_633,R05305
1.1.1.35,4033_4052_633,R05575
1.1.1.35,4033_4052_633,R08094
1.1.1.35,4033_4052_633,R01778
1.1.1.35,4033_4052_633,R01975
1.1.1.35,4033_4052_633,R04203
1.1.1.35,4033_4052_633,R04737
1.1.1.35,4033_4052_633,R04739
1.1.1.35,4033_4052_633,R04741
1.1.1.35,4033_4052_633,R04743
1.1.1.35,4033_4052_633,R04745
1.1.1.35,4033_4052_633,R04748
1.1.1.35,4033_4052_633,R06941
1.1.1.35,4033_4052_633,R07890
1.1.1.35,4033_4052_633,R07894
1.1.1.35,4033_4052_633,R07898
1.1.1.35,2486,R05066
1.1.1.35,2486,R05305
1.1.1.35,2486,R05575
1.1.1.35,2486,R08094
1.1.1.35,2486,R01778
1.1.1.35,2486,R01975
1.1.1.35,2486,R04203
1.1.1.35,2486,R04737
1.1.1.35,2486,R04739
1.1.1.35,2486,R04741
1.1.1.35,2486,R04743
1.1.1.35,2486,R04745
1.1.1.35,2486,R04748
1.1.1.35,2486,R06941
1.1.1.35,2486,R07890
1.1.1.35,2486,R07894
1.1.1.35,2486,R07898
1.1.1.35,129_2003,R05305
1.1.1.35,129_2003,R05575
1.1.1.35,129_2003,R08094
1.1.1.35,129_2003,R01778
1.1.1.35,129_2003,R01975
1.1.1.35,129_2003,R04203
1.1.1.35,129_2003,R04737
1.1.1.35,129_2003,R04739
1.1.1.35,129_2003,R04741
1.1.1.35,129_2003,R04743
1.1.1.35,129_2003,R04745
1.1.1.35,129_2003,R04748
1.1.1.35,129_2003,R07890
1.1.1.35,129_2003,R07894
1.1.1.35,129_2003,R07898
1.1.1.350,276,R02935
1.1.1.357,2002,R10422
1.1.1.357,2002,R10423
1.1.1.359,2003_236,R07147
1.1.1.359,2003_236,R08544
1.1.1.359,2003_236,R10428
1.1.1.359,2003_236,R10429
1.1.1.36,2003,R01779
1.1.1.36,2003,R01977
1.1.1.363,2003_298,R00835
1.1.1.363,2003_298,R02736
1.1.1.363,2003_298,R10520
1.1.1.363,2003_298,R10907
1.1.1.369,2003_298,R09951
1.1.1.37,276,R00342
1.1.1.37,2003_279,R07136
1.1.1.37,2003,R07136
1.1.1.37,2003,R00342
1.1.1.371,2003_298,R09954
1.1.1.372,2002,R10563
1.1.1.373,129_2003,R10719
1.1.1.375,2003_279,R10189
1.1.1.375,2003_279,R10786
1.1.1.376,2003_298,R01757
1.1.1.376,2003_298,R10787
1.1.1.38,2003_2007,R00214
1.1.1.38,2003_2007,R00217
1.1.1.38,2003_2007_7073,R00214
1.1.1.38,2003_2007_7073,R00217
1.1.1.381,2003,R10852
1.1.1.381,2003,R10851
1.1.1.381,2003,R03758
1.1.1.382,129_2003,R10916
1.1.1.383,129_2003,R04439
1.1.1.384,2003_298,R05526
1.1.1.385,2003,R10917
1.1.1.387,129_2003,R10986
1.1.1.387,129_2003,R10985
1.1.1.399,2003_304,R11337
1.1.1.399,2003,R11337
1.1.1.399,2003_298_304,R11337
1.1.1.4,2003_236,R02946
1.1.1.40,2003_PDBChainNotFound,R00216
1.1.1.40,2003_PDBChainNotFound,R00217
1.1.1.40,2003_2007_7073,R00216
1.1.1.408,7510,R11724
1.1.1.41,7510,R00709
1.1.1.42,7510,R00267
1.1.1.42,7510,R01899
1.1.1.42,7510,R00268
1.1.1.42,7510_PDBChainNotFound,R00267
1.1.1.42,7510_PDBChainNotFound,R01899
1.1.1.42,7510_PDBChainNotFound,R00268
1.1.1.42,304_7510,R00267
1.1.1.42,304_7510,R01899
1.1.1.42,304_7510,R00268
1.1.1.420,2003_298,R12502
1.1.1.421,129_2003,R12503
1.1.1.44,129_2003,R01528
1.1.1.45,129_2003,R02640
1.1.1.47,2003_236,R01520
1.1.1.47,2003_236,R01521
1.1.1.47,2003,R01520
1.1.1.47,2003,R01521
1.1.1.48,2003_298,R08544
1.1.1.48,2003_298,R01094
1.1.1.48,2003_236,R01094
1.1.1.50,2002,R04309
1.1.1.50,2002,R04310
1.1.1.50,2002,R04818
1.1.1.50,2002,R04819
1.1.1.50,2002,R04824
1.1.1.50,2002,R04825
1.1.1.50,2002,R04829
1.1.1.50,2002,R04830
1.1.1.50,2002,R04832
1.1.1.50,2002,R04833
1.1.1.50,2002,R04835
1.1.1.50,2002,R04836
1.1.1.50,2002,R04837
1.1.1.50,2002,R04838
1.1.1.50,2002,R04842
1.1.1.50,2002,R04843
1.1.1.50,2002,R04845
1.1.1.50,2002,R04846
1.1.1.50,2002,R08963
1.1.1.50,2003,R02476
1.1.1.50,2003,R02477
1.1.1.50,2003,R04309
1.1.1.50,2003,R04310
1.1.1.50,2003,R04818
1.1.1.50,2003,R04819
1.1.1.50,2003,R04824
1.1.1.50,2003,R04825
1.1.1.50,2003,R04829
1.1.1.50,2003,R04830
1.1.1.50,2003,R04832
1.1.1.50,2003,R04833
1.1.1.50,2003,R04835
1.1.1.50,2003,R04836
1.1.1.50,2003,R04837
1.1.1.50,2003,R04838
1.1.1.50,2003,R04842
1.1.1.50,2003,R04843
1.1.1.50,2003,R04845
1.1.1.50,2003,R04846
1.1.1.50,2003,R08963
1.1.1.50,2003,R10422
1.1.1.50,2003,R10423
1.1.1.51,2003,R02352
1.1.1.51,2003,R02353
1.1.1.51,2003,R03406
1.1.1.51,2003,R03407
1.1.1.51,2003,R09956
1.1.1.51,2003,R09957
1.1.1.51,2003,R01838
1.1.1.53,2003,R04831
1.1.1.53,2003,R04834
1.1.1.53,2003,R04844
1.1.1.53,2003,R04847
1.1.1.53,2003,R04330
1.1.1.54,2002,R03572
1.1.1.56,2003_236,R01895
1.1.1.6,2007_4002,R10715
1.1.1.6,2007_4002,R10717
1.1.1.6,2007_4002,R01034
1.1.1.60,129_2003,R01745
1.1.1.60,129_2003,R01747
1.1.1.62,2003,R04681
1.1.1.62,2003,R04682
1.1.1.62,2003,R08945
1.1.1.62,2003,R08980
1.1.1.64,2002,R01838
1.1.1.66,2003_236,R03886
1.1.1.67,129_2003,R00868
1.1.1.69,2003,R01738
1.1.1.69,2003,R01740
1.1.1.76,2003,R03707
1.1.1.77,2007_4002,R01781
1.1.1.77,2007_4002,R02257
1.1.1.77,2007_4002,R02258
1.1.1.77,2007_4002,R03080
1.1.1.79,2003,R01392
1.1.1.79,2003,R02527
1.1.1.79,2003,R00465
1.1.1.79,129_2003,R01392
1.1.1.79,129_2003,R02527
1.1.1.79,129_2003,R00465
1.1.1.8,129_2003_2006,R00842
1.1.1.8,129_2003,R00842
1.1.1.80,2003_236,R01550
1.1.1.83,7510,R00215
1.1.1.85,7510,R00994
1.1.1.85,7510,R10052
1.1.1.85,7510,R04426
1.1.1.85,7510,R01652
1.1.1.86,129_2003,R03051
1.1.1.86,129_2003,R04440
1.1.1.86,129_2003,R05068
1.1.1.86,129_2003,R05069
1.1.1.86,129_2003,R05071
1.1.1.87,7510,R01936
1.1.1.87,7510,R04862
1.1.1.87,7510,R01934
1.1.1.88,304,R02081
1.1.1.88,103_304,R02081
1.1.1.90,2003_236,R01487
1.1.1.90,2003_236,R01763
1.1.1.90,2003_236,R02611
1.1.1.90,2003_236,R04304
1.1.1.90,2003_236,R05282
1.1.1.90,2003_236,R05347
1.1.1.90,2003_236,R05348
1.1.1.93,7510,R02545
1.1.1.93,7510,R06180
1.1.1.94,129_2003,R00844
1.1.1.95,2003_304,R01513
1.1.1.95,2003_304,R08198
1.1.1.95,2003,R01513
1.1.1.95,2003,R08198
1.1.1.95,2003_298_304,R01513
1.1.1.95,2003_298_304,R08198
1.1.2.3,243,R00196
1.1.2.3,2002,R00196
